# Wavelength (nm)  Absorbance
200.0              0.05
210.0              0.06
220.0              0.07
230.0              0.08
240.0              0.09
250.0              0.10
260.0              0.12
270.0              0.15
280.0              0.20
290.0              0.28
300.0              0.38
310.0              0.50
320.0              0.65
330.0              0.82
340.0              1.00
350.0              1.15
360.0              1.25
370.0              1.30
380.0              1.32
390.0              1.33
400.0              1.34
410.0              1.34
420.0              1.33
430.0              1.32
440.0              1.30
450.0              1.28
460.0              1.25
470.0              1.20
480.0              1.15
490.0              1.10
500.0              1.05
